204,一次别离,161127人评价,只有有信仰的人才能说出事实真相。,8.7
205,追随,102666人评价,诺兰的牛逼来源于内心散发出的恐惧。,8.9
206,终结者2：审判日,186408人评价,少见的超越首部的续集，动作片中的经典。,8.6
207,源代码,499314人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,8.4
208,初恋这件小事,593403人评价,黑小鸭速效美白记。,8.3
209,小萝莉的猴神大叔,245375人评价,宝莱坞的萝莉与大叔。,8.5
210,步履不停,125954人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,8.8
211,天书奇谭,76353人评价,传奇的年代，醉人的童话。,9.1
212,新龙门客栈,241241人评价,嬉笑怒骂，调风动月。,8.5
213,再次出发之纽约遇见你,229209人评价,爱我就给我看你的播放列表。,8.5
214,撞车,210475人评价,天使与魔鬼的冲撞。,8.6
215,梦之安魂曲,137834人评价,一场没有春天的噩梦。,8.7
216,爱在午夜降临前,154174人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,8.8
217,海蒂和爷爷,82872人评价,,9.1
218,无耻混蛋,276802人评价,昆汀同学越来越变态了，比北野武还杜琪峰。,8.5
219,东京物语,67313人评价,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,9.2
220,城市之光,60429人评价,永远的小人物，伟大的卓别林。,9.3
221,绿里奇迹,136058人评价,天使暂时离开。,8.7
222,彗星来的那一夜,254082人评价,小成本大魅力。,8.5
223,血钻,179523人评价,每个美丽事物背后都是滴血的现实。,8.6
224,这个男人来自地球,233365人评价,科幻真正的魅力不是视觉效果能取代的。 ,8.5
225,E.T. 外星人,199762人评价,生病的E.T.皮肤的颜色就像柿子饼。,8.5
226,2001太空漫游,136313人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。,8.7
227,末路狂花,130623人评价,没有了退路，只好飞向自由。,8.7
228,聚焦,163144人评价,新闻人的理性求真。,8.8
229,勇闯夺命岛,173588人评价,类型片的极致。 ,8.6
230,变脸,260389人评价,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,8.4
231,发条橙,226617人评价,我完全康复了。,8.5
232,功夫,411476人评价,,8.3
233,秒速5厘米,387312人评价,青春就是放弃和怀念。,8.3
234,黄金三镖客,66863人评价,最棒的西部片。,9.1
235,黑鹰坠落,157219人评价,还原真实而残酷的战争。,8.6
236,非常嫌疑犯,152633人评价,我不信仰上帝，但我敬畏上帝。,8.6
237,卡萨布兰卡,152598人评价,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,8.6
238,我爱你,78552人评价,你要相信，这世上真的有爱存在，不管在什么年纪 ,9.0
239,国王的演讲,416049人评价,皇上无话儿。,8.4
240,千钧一发,120276人评价,一部能引人思考的科幻励志片。,8.7
241,疯狂的麦克斯4：狂暴之路,271449人评价,,8.6
242,美国丽人,226719人评价,每个人的内心都是深不可测的大海。 ,8.5
243,遗愿清单,174307人评价,用剩余不多的时间，去燃烧整个生命。,8.6
244,奇迹男孩,288382人评价,,8.6
245,碧海蓝天,120139人评价,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,8.7
246,驴得水,461967人评价,过去的如果就让它过去了，未来只会越来越糟！,8.3
247,荒岛余生,173794人评价,一个人的独角戏。,8.5
248,枪火,126482人评价,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,8.7
249,英国病人,204597人评价,"In memory, love lives forever...",8.5
250,荒野生存,155301人评价,出门必备：本草纲目。,8.6
